stage,risk_level,stock_code,stock_name,bond_code,bond_name,issue_amount_billion,planned_issue_amount_billion,actual_issue_amount_billion,record_date,priority_subscribe_date,online_subscribe_date,priority_payment_date,winning_result_date,listing_date,convert_start_date,convert_end_date,registered_date,issue_announce_date,latest_announcement_date,latest_title,latest_url,next_action
已上市,低,600713,南京医药,110098,南药转债,10.81491,,,,,2024-12-25,,,2025-01-20,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301235,华康洁净,123251,华医转债,7.5,,,,,2024-12-23,,,2025-01-09,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688131,皓元医药,118051,皓元转债,8.2235,,,,,2024-11-28,,,2024-12-19,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,002600,领益智造,127107,领益转债,21.374181,,,,,2024-11-18,,,2024-12-06,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301004,嘉益股份,123250,嘉益转债,3.979384,,,,,2024-11-07,,,2024-11-26,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603197,保隆科技,113692,保隆转债,13.9,,,,,2024-10-31,,,2024-11-27,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603077,和邦生物,113691,和邦转债,46.0,,,,,2024-10-28,,,2024-11-19,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300681,英搏尔,123249,英搏转债,8.171597,,,,,2024-10-24,,,2024-11-11,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,600419,天润乳业,110097,天润转债,9.9,,,,,2024-10-24,,,2024-11-15,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603829,洛凯股份,113689,洛凯转债,4.03431,,,,,2024-10-17,,,2024-11-11,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603060,国检集团,113688,国检转债,8.0,,,,,2024-10-17,,,2024-11-12,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688239,航宇科技,118050,航宇转债,6.67,,,,,2024-08-21,,,2024-09-10,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300952,恒辉安防,123248,恒辉转债,5.0,,,,,2024-08-21,,,2024-09-12,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301216,万凯新材,123247,万凯转债,27.0,,,,,2024-08-16,,,2024-09-05,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301053,远信工业,123246,远信转债,2.86467,,,,,2024-08-16,,,2024-09-03,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300553,集智股份,123245,集智转债,2.546,,,,,2024-08-14,,,2024-08-28,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,002871,伟隆股份,127106,伟隆转债,2.6971,,,,,2024-08-13,,,2024-08-28,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,600531,豫光金铅,110096,豫光转债,7.1,,,,,2024-08-12,,,2024-09-03,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688403,汇成股份,118049,汇成转债,11.487,,,,,2024-08-07,,,2024-09-02,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300893,松原安全,123244,松原转债,4.1,,,,,2024-08-01,,,2024-08-22,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,605116,奥锐特,111021,奥锐转债,8.1212,,,,,2024-07-26,,,2024-08-15,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,605166,聚合顺,111020,合顺转债,2.04,,,,,2024-07-22,,,2022-04-19,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301081,严牌股份,123243,严牌转债,4.678889,,,,,2024-07-10,,,2024-07-26,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301131,聚赛龙,123242,赛龙转债,2.5,,,,,2024-07-08,,,2024-07-29,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300870,欧陆通,123241,欧通转债,6.445265,,,,,2024-07-05,,,2024-07-26,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688135,利扬芯片,118048,利扬转债,5.2,,,,,2024-07-02,,,2024-07-19,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603289,泰瑞机器,113686,泰瑞转债,3.378,,,,,2024-07-02,,,2024-07-24,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603305,旭升集团,113685,升24转债,4.2,,,,,2024-06-14,,,2018-12-11,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,605366,宏柏新材,111019,宏柏转债,9.6,,,,,2024-04-17,,,2024-05-14,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603319,美湖股份,113684,湘泵转债,5.7739,,,,,2024-04-01,,,2024-04-29,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603568,伟明环保,113683,伟24转债,6.7,,,,,2024-03-28,,,2018-12-26,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603939,益丰药房,113682,益丰转债,15.81009,,,,,2024-03-04,,,2020-06-22,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,002442,龙星科技,127105,龙星转债,7.547539,,,,,2024-02-01,,,2024-03-06,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300358,楚天科技,123240,楚天转债,10.0,,,,,2024-01-31,,,2024-02-29,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,002605,姚记科技,127104,姚记转债,5.831273,,,,,2024-01-25,,,2024-02-26,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300488,恒锋工具,123239,锋工转债,6.2,,,,,2024-01-19,,,2024-02-22,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300863,卡倍亿,123238,卡倍转02,2.79,,,,,2024-01-11,,,2022-01-18,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300793,佳禾智能,123237,佳禾转债,10.04,,,,,2024-01-04,,,2024-01-24,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,002135,东南网架,127103,东南转债,20.0,,,,,2024-01-03,,,2024-01-24,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603213,镇洋发展,113681,镇洋转债,6.6,,,,,2023-12-29,,,2024-01-17,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,002761,浙江建投,127102,浙建转债,10.0,,,,,2023-12-25,,,2024-01-16,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,605077,华康股份,111018,华康转债,13.03023,,,,,2023-12-25,,,2024-01-15,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301193,家联科技,123236,家联转债,7.5,,,,,2023-12-22,,,2024-01-18,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,601137,博威合金,113069,博23转债,12.0,,,,,2023-12-22,,,2020-02-17,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,001283,豪鹏科技,127101,豪鹏转债,11.0,,,,,2023-12-22,,,2024-01-11,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300911,亿田智能,123235,亿田转债,5.2021,,,,,2023-12-21,,,2024-01-12,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
